                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.74644,                0.60623,                0.98282,                0.92875,                0.85367,                0.92529,                0.78029,                0.63663,                0.46194,                0.88448,               0.001783,               0.001783,               0.001783
                     85,                0.74156,                0.59172,                0.97786,                0.90892,                0.86993,                0.92713,                0.78349,                 0.6261,                0.45818,                0.88197,               0.001684,               0.001684,               0.001684
                     86,                0.72401,                0.58353,                0.97313,                0.89373,                0.88729,                0.92759,                0.78626,                 0.6194,                0.45436,                0.87826,               0.001585,               0.001585,               0.001585
                     87,                0.76572,                0.60548,                 0.9918,                0.89428,                 0.8839,                0.92811,                0.78761,                0.61446,                0.45334,                0.87558,               0.001486,               0.001486,               0.001486
                     88,                0.72682,                0.58791,                 0.9581,                0.88793,                 0.8885,                0.92948,                0.78722,                0.60974,                0.44926,                0.87407,               0.001387,               0.001387,               0.001387
                     89,                0.78076,                0.60695,                0.98496,                0.89511,                0.89097,                0.92991,                0.79206,                0.60685,                 0.4484,                0.87366,               0.001288,               0.001288,               0.001288
                     90,                0.73336,                0.59596,                0.99079,                0.87867,                0.89361,                 0.9303,                0.79534,                0.60433,                0.44534,                 0.8728,               0.001189,               0.001189,               0.001189
                     91,                0.71853,                0.58074,                0.98805,                0.88156,                0.89181,                0.92938,                0.79853,                 0.5998,                0.44089,                0.87043,                0.00109,                0.00109,                0.00109
                     92,                0.69107,                0.56869,                0.97896,                0.88423,                0.89324,                0.92959,                0.79823,                0.59511,                0.43494,                0.86902,               0.000991,               0.000991,               0.000991
                     93,                0.67725,                0.54885,                0.95203,                0.89992,                0.89024,                0.92954,                0.80071,                0.59438,                0.43586,                0.86795,               0.000892,               0.000892,               0.000892
                     94,                0.66118,                0.56074,                0.97617,                0.90978,                0.88442,                0.92961,                0.80043,                0.59203,                0.43439,                0.86722,               0.000793,               0.000793,               0.000793
                     95,                0.70733,                0.56694,                0.97263,                0.91978,                 0.8747,                0.92953,                0.79745,                 0.5874,                0.43292,                0.86599,               0.000694,               0.000694,               0.000694
                     96,                0.70138,                0.55839,                0.96638,                0.92705,                0.86177,                0.92599,                0.80183,                0.58504,                0.43207,                0.86466,               0.000595,               0.000595,               0.000595
                     97,                 0.7241,                0.56229,                0.98598,                0.93347,                0.86115,                0.93022,                0.80236,                0.58233,                0.42981,                0.86384,               0.000496,               0.000496,               0.000496
                     98,                0.66034,                0.53457,                 0.9641,                0.93014,                0.86675,                0.93079,                0.80419,                0.58083,                0.42807,                0.86325,               0.000397,               0.000397,               0.000397
                     99,                0.73143,                0.58865,                0.97458,                 0.9168,                0.87986,                0.93158,                0.80588,                0.57818,                0.42687,                0.86232,               0.000298,               0.000298,               0.000298
